Country,2005 Sales,2006 Sales,2007 Sales,2008 Sales,2009 Sales,2010 Sales,2011 Sales,2012 Sales,2013 Sales,2014 Sales,2015 Sales,2016 Sales,2017 Sales,2018 Sales,2019 Sales,2020 Sales,2021 Sales,2022 Sales
China,"3,971,101","5,175,961","6,297,538","6,755,609","10,331,315","13,757,794","14,472,416","15,495,240","17,927,730","19,707,677","21,210,339","24,376,902","24,718,321","23,709,782","21,472,092","20,177,731","21,481,537","23,563,287"
India,"1,106,863","1,311,373","1,511,812","1,545,414","1,816,878","2,387,197","2,510,313","2,781,919","2,553,979","2,570,736","2,772,270","2,966,637","3,229,109","3,394,756","2,962,115","2,433,464","3,082,279","3,792,356"
Japan,"4,748,482","4,612,318","4,325,508","4,184,266","3,905,310","4,203,181","3,509,036","4,572,333","4,562,282","4,699,591","4,215,889","4,146,459","4,386,378","4,391,160","4,301,091","3,809,977","3,675,698","3,448,297"
USA,"7,659,983","7,761,592","7,562,334","6,769,107","5,400,890","5,635,432","6,089,403","7,241,900","7,585,341","7,749,432","7,516,826","6,872,729","6,080,229","5,303,580","4,719,710","3,401,838","3,350,050","2,858,575"
Germany,"3,319,259","3,467,961","3,148,163","3,090,040","3,807,175","2,916,259","3,173,634","3,082,504","2,952,431","3,036,773","3,206,042","3,351,607","3,441,262","3,435,778","3,607,258","2,917,678","2,622,132","2,651,357"
UK,"2,439,717","2,344,864","2,404,007","2,131,795","1,994,999","2,030,846","1,941,253","2,044,609","2,264,737","2,476,435","2,633,503","2,692,786","2,540,617","2,367,147","2,311,140","1,631,064","1,647,181","1,614,063"
Brazil,"1,439,822","1,632,947","2,085,718","2,341,300","2,643,862","2,856,540","2,901,647","3,115,223","3,040,783","2,794,687","2,123,009","1,676,722","1,856,450","2,101,884","2,262,069","1,615,942","1,558,467","1,576,666"
France,"2,118,042","2,045,745","2,109,672","2,091,369","2,302,398","2,251,669","2,204,229","1,898,760","1,790,456","1,795,885","1,917,226","2,015,177","2,110,748","2,173,481","2,214,280","1,650,126","1,659,005","1,532,035"
South Korea,"893,159","932,650","1,010,790","1,017,595","1,221,118","1,237,482","1,293,501","1,256,403","1,243,868","1,359,834","1,533,670","1,533,813","1,526,660","1,525,150","1,497,035","1,618,333","1,468,873","1,420,486"
Italy,"2,244,108","2,335,462","2,494,115","2,161,359","2,159,465","1,961,580","1,749,740","1,403,010","1,304,648","1,360,578","1,575,737","1,824,968","1,970,497","1,910,025","1,916,949","1,381,496","1,456,674","1,316,919"
Spain,"1,528,877","1,634,608","1,614,835","1,161,176","952,772","982,015","808,051","699,589","722,689","890,125","1,094,077","1,147,007","1,234,932","1,321,438","1,258,249","851,213","859,476","813,374"
Indonesia,"364,319","222,387","314,769","425,267","359,367","541,475","602,291","780,785","880,032","863,268","755,566","834,920","833,681","878,595","785,539","388,925","659,809","783,563"
Australia,"608,804","598,394","637,019","596,765","540,562","592,122","559,314","576,855","566,454","531,596","924,154","927,274","915,658","873,713","799,263","676,804","753,256","777,688"
Russia,"1,520,225","1,911,240","2,514,920","2,897,459","1,465,742","1,912,794","2,653,688","2,755,384","2,649,181","2,333,067","1,282,740","1,239,680","1,448,700","1,606,676","1,567,809","1,433,956","1,483,444","629,923"
Turkey,"438,597","373,219","357,465","305,998","369,819","509,784","593,519","556,280","664,655","587,331","725,596","756,938","722,759","486,321","387,256","610,109","561,853","592,660"
Malaysia,"410,892","374,169","442,885","497,459","486,342","543,594","535,113","552,189","576,657","588,348","591,275","514,545","514,680","533,201","550,182","480,965","452,663","544,838"
Saudi Arabia,"407,000","399,300","403,600","400,000","390,000","450,000","460,000","540,000","570,000","632,700","672,300","549,400","424,216","340,218","460,373","387,709","475,837","519,485"
Mexico,"714,010","680,946","641,394","589,045","439,120","503,748","592,101","649,333","698,217","745,250","892,194","1,065,912","984,262","883,043","764,175","532,097","520,112","486,962"
Poland,"207,007","224,728","277,427","319,190","276,220","315,855","277,427","272,719","289,913","327,709","354,975","416,123","486,352","531,889","555,598","428,347","446,647","419,749"
Taiwan,"325,840","218,610","213,327","141,161","187,262","208,300","235,205","211,578","211,824","235,480","212,236","206,092","399,885","389,328","159,492","191,337","382,000","375,841"
Belgium,"480,088","526,141","524,795","535,947","476,194","547,340","572,211","486,737","486,065","482,939","501,066","539,519","546,558","549,632","550,008","424,492","383,123","366,333"
South Africa,"419,868","481,558","434,653","329,262","258,129","337,130","396,292","440,002","450,561","439,264","412,670","361,289","361,289","365,242","355,378","247,571","304,340","363,696"
Thailand,"178,291","184,544","172,321","226,805","230,037","346,644","360,441","660,214","631,225","369,826","356,063","328,053","665,871","729,709","468,638","343,494","312,200","343,349"
Netherlands,"465,196","483,999","504,300","499,980","387,699","482,531","555,812","502,544","416,717","387,569","449,350","382,825","414,306","443,531","446,057","357,996","324,336","313,609"
Chile,"140,000","140,000","180,000","181,523","130,753","212,336","245,116","257,013","286,588","256,160","212,023","228,909","276,785","315,326","260,683","194,128","304,045","313,589"
Sweden,"274,301","282,766","306,794","253,982","213,408","289,684","304,984","279,899","269,599","303,948","345,108","372,318","379,393","353,729","356,036","292,024","301,006","288,087"
Vietnam,"24,888","23,335","40,115","50,877","62,722","57,778","64,564","44,070","59,857","79,813","117,288","159,501","152,799","197,752","229,539","215,908","207,693","283,352"
Argentina,"290,648","336,296","422,230","452,539","373,231","522,591","673,853","596,397","684,379","432,696","480,952","525,757","663,550","610,943","282,299","223,438","241,619","260,876"
Canada,"847,436","858,826","841,585","872,720","729,023","694,349","681,956","748,530","755,615","760,449","712,322","661,088","639,824","577,711","496,846","318,750","320,605","258,483"
Israel,"130,000","130,000","200,000","170,000","160,000","200,000","210,000","190,000","200,000","228,000","247,300","276,900","271,134","257,465","239,671","202,366","272,646","257,743"
Philippines,"35,063","38,131","41,107","44,313","46,111","59,623","57,768","64,165","76,822","90,287","116,381","133,188","295,459","252,848","258,555","153,833","180,642","226,403"
Switzerland,"266,770","269,421","284,674","288,525","266,018","294,239","318,958","328,139","307,885","301,942","323,783","317,318","311,996","299,135","311,466","236,828","238,481","226,006"
Austria,"307,915","308,594","298,182","293,697","319,403","328,563","356,145","336,010","319,035","303,318","308,555","329,604","353,320","341,068","320,381","257,721","239,803","215,050"
Colombia,"120,000","160,000","200,000","180,000","170,000","250,000","250,000","240,000","238,800","265,100","236,800","215,700","206,336","220,088","220,581","85,282","200,914","208,160"
Czechia,"151,699","156,686","174,456","182,554","167,708","169,580","173,595","174,009","164,736","192,314","230,857","259,693","271,595","261,437","249,915","202,971","206,876","192,087"
Pakistan,"141,326","160,256","159,457","127,863","94,437","130,038","140,184","136,026","121,122","123,950","182,231","177,222","203,314","217,392","162,689","104,387","198,921","188,318"
Norway,"109,907","109,164","129,195","110,617","98,675","127,754","138,345","137,967","142,151","144,202","150,686","154,603","158,650","147,929","133,964","124,424","176,276","174,329"
UA Emirates,"137,000","150,000","135,000","191,544","90,238","136,979","193,268","211,500","206,700","206,700","214,000","166,400",0,0,"198,520","129,901","156,780","171,414"
Portugal,"206,488","194,702","201,816","213,389","161,013","223,464","153,404","95,309","105,921","142,826","178,503","207,345","222,129","228,327","223,799","145,417","149,740","156,304"
Uzbekistan,"28,500","31,100","31,700","43,000","45,000","43,500","48,000","45,000","45,500","46,000","46,000","43,900","46,000","47,500","147,827","146,250","138,377","153,750"
Denmark,"148,819","156,936","162,686","150,199","112,454","153,858","170,036","170,763","182,086","189,055","207,717","222,924","221,821","218,566","225,581","198,130","185,324","148,293"
Morocco,"56,183","75,295","90,941","102,095","93,761","91,119","99,727","117,818","108,177","109,649","120,875","152,324","155,306","163,223","148,354","117,046","154,284","143,265"
Egypt,"94,538","132,373","179,149","203,729","158,926","192,848","210,300","222,700","220,000","273,500","258,400","214,800","100,533","145,873","127,443","167,792","215,072","133,857"
Romania,"214,967","247,411","312,533","285,506","116,016","94,441","81,709","66,436","57,710","82,809","98,325","115,004","105,083","129,004","161,562","126,351","120,804","127,948"
Peru,"14,231","20,061","28,430","55,312","48,775","73,858","93,055","128,295","139,453","140,363","137,039","133,671","134,623","115,441","115,241","81,496","111,436","118,915"
New Zealand,"77,825","76,804","77,454","73,397","54,404","62,029","63,471","76,871","82,433","90,131","94,964","102,514","107,951","107,674","103,610","80,433","111,299","116,334"
Hungary,"198,982","187,676","171,661","153,278","60,189","43,476","45,094","53,059","56,139","67,476","77,171","96,552","116,265","136,601","157,900","128,021","121,920","111,524"
Greece,"269,728","267,669","279,745","267,295","219,730","141,501","97,680","58,482","58,694","71,218","75,805","78,873","88,083","103,431","114,109","80,977","100,916","105,283"
Ireland,"171,742","178,484","186,325","151,607","57,453","88,446","89,911","79,498","74,367","96,284","124,804","146,600","131,332","125,557","117,109","88,324","104,669","105,253"
Ecuador,"54,342","58,900","58,334","69,556","60,596","90,250","94,297","80,644","74,169","78,495","52,101","44,816","94,635","105,046","97,572","61,746","86,740","100,069"
Kazakhstan,"39,800","39,000","39,400","39,000","40,000","24,000","38,348","86,959","153,664","151,424","81,500","86,707","41,915","52,836","77,324","100,595",,"97,169"
Kuwait,"50,000","65,000","70,000","80,000","90,000","90,000","95,000","116,500","125,000","126,300","124,200","95,400","91,251","91,223","98,454","72,648","83,460","93,465"
Finland,"148,161","145,700","125,608","139,669","90,574","111,968","126,123","111,251","103,455","106,237","108,819","118,991","120,480","120,480","114,202","96,392","98,481","81,674"
Slovakia,"56,916","59,084","59,700","70,040","74,717","64,033","68,203","69,268","65,998","72,237","77,968","88,165","96,105","98,080","101,568","76,305","75,700","78,841"
Croatia,"70,541","78,775","82,664","88,265","44,918","38,587","41,561","31,360","27,802","33,962","35,715","44,106","50,769","60,041","62,977","36,057","44,929","42,955"
Ukraine,"258,395","361,549","500,357","599,985","170,085","169,540","207,453","237,602","213,322","97,020","46,546","65,562","82,330","81,877","88,437","85,450","103,262","37,891"
Bulgaria,"25,956","36,455","43,521","45,143","22,869","16,257","19,250","19,419","19,352","23,500","23,500","26,370","33,265","37,506","35,371","22,368","24,537","28,684"
Albania,800,800,"1,600","1,600","1,000","1,600","2,100","2,300","2,300","2,500","2,500","2,500","1,370","2,175","3,005",,,
Algeria,"71,046","81,803","97,239","111,753","131,259","97,765","165,415","188,990","222,710","178,200","177,517","85,300","97,983","123,698","118,689",,,
Angola,"6,000","8,000","3,500","3,500","10,000","20,000","10,000","17,000","20,000","24,000","14,700","5,600","2,875","1,825","2,080",,,
Armenia,"11,000","12,000","6,000","4,000","4,000","4,000","4,000","5,000","5,000","5,200","2,300","2,500","2,200","1,200",970,,,
Azerbaijan,"12,100","13,000","15,000","15,000","10,000","13,000","10,000","14,000","21,000","23,300","9,100","4,300","1,700","3,200","6,046",,,
Bahamas,"2,500","2,000","2,000","2,000","3,500","2,000","2,000","2,500","2,000","1,600","2,800","2,700","1,332","1,332","1,332",,,
Bahrain,"18,000","18,000","20,000","30,000","28,000","29,000","26,000","40,000","43,500","49,600","47,700","39,200","32,439","31,855","26,372",,,
Bangladesh,"6,500","9,000","12,000","17,000","21,500","20,700","20,800","24,600","24,000","29,300","28,500","15,400","2,500","2,750","3,000",,,
Belarus,"9,000","13,000","20,000","22,000","12,000","15,000","15,000","20,000","19,600","22,300","22,400","20,200","30,659","48,315","56,592",,,
Belize,100,200,100,200,150,100,100,200,200,200,400,400,374,348,348,,,
Bolivia,"1,000","1,500","1,500","1,500","1,000","8,000","9,500","14,000","13,900","18,500","12,800","16,900","21,807","22,612","20,319",,,
Bosnia & Herz.,"10,000","10,000","15,000","13,000","12,000","10,000","10,000","10,000","9,800","8,900","8,700","9,400","21,807","22,612","10,038",,,
Botswana,"12,905","13,073","16,538","20,037","19,354","20,972","25,204","31,471","31,122","26,500","3,400","3,500","3,500","3,531","1,050",,,
Brunei,"15,000","15,000","10,000","15,000","10,000","10,000","15,000","15,000","14,700","18,100","13,900","13,400","12,052","12,200","10,949",,,
Burkina Faso,500,500,500,600,550,700,500,500,700,700,"1,100","1,800",376,537,537,,,
Burma,"1,000","1,000","1,000","1,200","1,500","1,800","1,800","2,100","2,000","1,000","1,000","1,300","2,113","4,531","7,167",,,
Burundi,500,500,600,700,700,300,200,210,210,200,200,400,14,10,10,,,
Cambodia,"1,000","1,000","1,500","1,500","1,500","1,500","2,000","2,000","2,000","2,400","1,000",800,838,811,"1,275",,,
Cameroon,"1,300","1,400","1,400","1,400","1,400","1,400","1,400","1,900","2,400","2,300","1,700","1,900","1,538","1,529","1,529",,,
Costa Rica,"13,000","15,000","13,000","15,000","12,000","20,000","30,000","30,000","29,800","35,200","41,800","48,300","41,330","33,352","30,825",,,
Cuba,"2,000","2,000","3,000","3,000","1,500","2,000","3,000","4,000","4,000","4,000","4,000","5,900","4,386","4,470","2,280",,,
Cyprus,"17,687","18,639","22,878","22,241","14,981","14,088","13,480","10,123","7,000","8,276","10,344","12,643","13,127","13,135","12,438",,,
Domin. Rep.,"16,000","16,000","18,000","20,000","8,000","15,000","15,000","15,000","14,900","17,400","5,061","4,204",24,108,"12,606",,,
DR Congo,,,,,,,,,,,"2,000","1,700",245,309,346,,,
El Salvador,"4,000","6,000","8,000","10,000","2,000","3,000","3,000","5,000","5,000","5,000","5,400","4,600","7,036","7,501","6,400",,,
Estonia,"19,640","25,363","30,912","24,579","9,946","10,295","17,070","19,424","19,694","20,969","20,347","22,429","25,618","26,297","32,132",,,
Gabon,800,"1,000","1,200","2,500","2,000","2,000","2,000","3,500","3,000","2,900","1,700","1,700",973,993,"1,278",,,
Georgia,"1,500","2,000","6,000","8,000","1,000","4,000","3,000","4,000","4,000","4,300","3,300","3,400","2,550","2,800","2,804",,,
Ghana,"2,500","3,000","3,500","3,500","4,500","4,000","6,000","6,500","6,600","6,900","3,600","4,200","4,066","4,268","3,394",,,
Guatemala,"8,100","9,400","12,100","12,800","13,000","14,100","15,000","16,000","15,900","17,300","18,100","16,600","14,349","14,360","13,407",,,
Guyana,"4,085","4,071","4,437","4,357","4,446","4,393","4,719","4,357","4,256","4,248","4,414",,"4,858","5,373","5,450",,,
Honduras,"4,800","5,600","7,100","8,000","6,000","1,000","1,000","1,000","1,000","1,300",900,800,"9,766","10,321","9,508",,,
Hong Kong,"27,483","27,877","33,462","35,182","28,797","41,638","44,845","45,283","46,147","48,500","44,261","36,304","37,298","34,596","29,117",,,
Iceland,"18,060","17,129","15,942","9,033","2,113","3,106","5,038","7,902","7,274","9,536","14,004","18,442","21,324","17,976","11,692",,,
Iran,"730,000","850,000","900,000","1,000,000","1,100,000","1,410,403","1,452,965","901,268","691,709","1,106,700","1,055,400","1,320,300","1,361,456","912,563","51,103",,,
Iraq,"2,000","5,000","4,000","20,000","35,000","65,000","71,500","80,000","78,200","61,000","33,500","16,000","16,766","32,309","619,028",,,
Ivory Coast,"2,000","2,500","2,000","2,500","3,000","3,500","3,500","5,000","4,000","4,300","4,500","4,300","5,552","6,075","7,522",,,
Jamaica,"3,000","3,000","3,000","3,000","4,000","2,000","2,000","2,000","2,000","2,300","2,300","2,000","1,887","5,232","5,232",,,
Jordan,"10,000","5,000","5,000","9,000","10,500","10,000","11,000","11,500","14,500","15,700","14,700","12,400","12,780","13,166","14,000",,"106,304",
Kenya,"2,000","3,000","2,000","2,000","5,000","4,000","4,000","2,000","2,500","3,000","2,900","2,400","2,124","2,861","2,307",,,
Kyrgyzstan,"5,000","5,000","5,000","4,000","4,500","4,000","5,000","4,000","4,000","4,000","4,000","1,800","2,000","2,100","1,348",,,
Laos,"1,000","1,000","1,500","2,000","3,000","4,000","4,000","5,000","6,000","9,800","5,600","4,200","3,410","3,741","4,064",,,
Latvia,"10,467","14,234","21,606","22,217","7,515","7,970","13,234","10,665","10,636","12,452","13,765","16,359","16,698","16,878","16,974",,,
Lebanon,"15,000","15,000","20,000","33,000","32,000","33,000","31,000","35,500","35,500","38,300","38,700","35,600","37,221","33,012","22,086",,,
Liberia,300,200,300,300,200,300,200,210,210,200,200,300,224,80,68,,,
Libya,"35,000","35,000","36,000","37,000","37,500","38,000","39,000","20,000","30,000","30,000","38,500","31,600","11,000","12,500","16,100",,,
Lithuania,"16,602","25,582","32,771","19,831","5,367","6,365","10,980","12,165","12,163","14,503","17,085","20,320","25,836","32,382","43,109",,,
Luxembourg,"48,517","50,837","51,332","52,359","47,265","49,726","49,881","50,398","46,624","49,793","46,473","50,561","52,775","52,786","54,938",,,
Madagascar,930,"1,100","1,100","1,000",900,900,"1,100","1,200","1,200","1,600","1,200",800,"1,199","1,138","1,043",,,
Malawi,930,"1,100","1,100","1,000","1,000","1,500","1,500","1,000","1,000","1,100","1,200","1,500",569,724,598,,,
Malta,"6,552","6,745","6,240","5,423","5,894","4,056","5,428","5,884","5,749","6,451","7,121","7,333","7,825","8,128","7,621",,,
Mauritius,"2,900","3,500","4,000","4,000","3,000","4,000","3,000","7,000","7,500","8,600","8,000","8,700","8,753","8,288","7,722",,,
Moldova,"4,000","5,000","7,000","11,000","4,000","5,000","5,500","5,000","5,000","5,600","3,700","4,300","5,260","5,960","6,406",,,
Mongolia,500,500,"1,000","3,000","3,000","3,000","3,000","2,000","1,500","1,100",700,"1,300","5,260","5,960","2,970",,,
N. Caledonia,"7,397","7,251","7,717","7,853","7,246","7,354","7,525","7,250","6,272","6,469","6,068","5,662","5,921","5,571","5,818",,,
Nepal,"1,000","1,000","2,000","1,500","2,000","1,000","3,000","3,600","3,500","5,300","4,000","6,400","7,445","6,759","7,505",,,
Nicaragua,"3,000","6,000","6,000","6,000","4,000","3,000","3,000","3,000","4,000","5,200","4,800","5,400","7,699","9,567","1,296",,,
Nigeria,"16,000","22,000","7,000","7,000","34,000","25,000","30,000","40,000","40,000","42,000","15,600","19,200","4,700","8,550","5,100",,,
North Macedonia,"9,300","10,000","10,200","10,500","6,000","8,500","8,500","5,000","2,000","2,700","3,200","3,800","3,273","3,885","4,060",,,
Oman,"147,500","144,700","146,300","145,000","105,000","115,000","115,000","130,000","140,000","138,600","121,100","115,700","63,789","49,777","49,924",,,
Palestine,"13,500","15,700","16,400","18,400","13,400","17,400","19,700","21,600","21,100","21,100","21,100","21,100",496,146,109,,,
Panama,"10,000","15,000","22,000","30,000","25,000","30,000","35,000","40,000","39,800","43,000","46,700","46,200","44,009","36,401","39,049",,,
Paraguay,"3,000","5,000","6,000","12,000","7,000","11,000","20,000","20,000","19,900","21,500","18,700","16,000","18,848","25,204","20,599",,,
Puerto Rico,"96,000","85,000","92,000","65,000","65,000","45,000","55,000","55,000","54,700","58,500","49,000","66,500","84,470","73,080","82,607",,"85,486",
Qatar,"61,100","59,900","60,500","60,000","40,000","40,000","45,000","60,000","65,000","71,500","69,200","50,200","41,176","38,816","39,679",,,
R. of Congo,200,200,200,500,"1,500","1,500","1,500","1,500","1,500","1,500","1,600",,,,,,,
Senegal,"3,000","3,000","3,000","3,000","4,000","4,000","3,500","4,000","4,000","4,500","3,700","4,400","3,773","3,558","3,320",,,
Serbia,"21,603","25,610","32,772","36,177","30,000","28,951","22,181","22,800","23,000","23,900","21,700","23,300","22,090","24,006","25,514",,,
Singapore,"109,167","116,849","110,814","100,979","73,183","47,273","33,493","32,724","27,955","32,807","61,512","91,096","94,692","81,625","76,476",,,
Slovenia,"59,324","59,578","68,719","71,575","57,967","61,142","60,193","50,091","52,268","53,296","59,450","63,674","62,522","65,115","70,904",,,
Sri Lanka,"2,600","2,800","2,900","3,000","3,000","2,000","7,000","8,000","10,000","13,800","12,500","26,300","11,796","10,981","8,100",,,
Sudan,"2,000","2,000","2,500","3,000","7,000","2,000","2,000","2,000","1,500","1,800","2,200",,"1,450","1,140",996,,,
Syria,"32,985","45,467","36,000","42,000","46,000","78,147","33,160","36,300","35,500","33,400","33,400","33,400","4,500","6,996","11,428",,,
Tajikistan,"5,300","5,700","5,800","6,000","7,000","6,500","7,500","6,000","6,000","6,100","6,100","1,900","2,000","2,200","2,200",,,
Tanzania,"2,000","2,000","2,000","2,000","2,000","2,000","3,000","3,000","3,500","1,000","2,600","2,300",938,998,675,,,
Tr.&Tobago,"10,000","10,000","5,000","10,000","10,000","10,000","10,000","8,000","8,000","6,300","10,500","13,900","9,840","9,712","10,707",,,
Tunisia,"25,000","30,000","30,000","33,000","35,000","45,000","35,000","37,000","35,000","37,100","36,100","36,400","45,886","35,343","34,387",,,
Turkmenistan,"3,900","4,200","4,300","4,500","4,500","4,500","5,000","4,500","4,500","4,600","4,600","4,500","4,800","5,100","5,225",,,
Uganda,"3,000","3,500","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","2,200","2,900",721,770,832,,,
Uruguay,"10,000","10,000","12,000","15,000","30,000","40,000","38,308","38,109","41,785","40,171","39,472","35,924","41,549","34,377","30,063",,,
Venezuela,"128,601","184,108","267,932","135,882","67,047","68,210","65,339","60,776","43,887","10,400","7,700","3,200","2,500","1,159","3,000",,,
Yemen,"4,000","4,700","4,800","5,000","5,000","2,000","2,000","2,000","2,000","2,500","2,300","1,100",828,552,552,,,
Zambia,"2,300","2,700","2,800","2,600","3,000","2,000","2,000","2,000","2,000","2,000","1,700","2,300",848,"1,118","1,094",,,
Zimbabwe,"7,000","6,000","3,000","3,000","3,000","2,000","3,000","3,000","3,000","4,100","1,500","1,300","1,094",906,532,,,
